"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"06.05.2022","113,12","111,36","113,50","109,88","-","1,87%"
"05.05.2022","111,04","110,31","113,99","109,21","-","0,82%"
"04.05.2022","110,14","105,91","111,00","105,46","241,68K","4,93%"
"03.05.2022","104,97","107,61","108,32","104,62","184,20K","-2,43%"
"02.05.2022","107,58","106,30","108,46","103,10","151,34K","0,60%"
"01.05.2022","106,94","106,42","107,40","106,36","-","-2,19%"
"29.04.2022","109,34","107,55","110,30","107,00","12,02K","1,63%"
"28.04.2022","107,59","104,96","108,00","103,29","73,32K","2,52%"
"27.04.2022","104,95","105,06","105,98","103,00","230,07K","0,33%"
"26.04.2022","104,61","102,30","105,81","100,91","268,03K","2,27%"
"25.04.2022","102,29","104,62","104,89","99,26","-","-2,17%"
"24.04.2022","104,56","105,06","105,06","104,12","-","-1,96%"
"22.04.2022","106,65","108,26","108,76","105,54","125,87K","-1,55%"
"21.04.2022","108,33","107,07","109,80","106,76","185,38K","1,43%"
"20.04.2022","106,80","108,10","109,00","104,65","243,67K","-0,42%"
"19.04.2022","107,25","112,85","114,21","106,74","239,91K","-5,22%"
"18.04.2022","113,16","112,32","114,84","110,71","132,15K","1,31%"
"14.04.2022","111,70","108,29","112,39","106,63","210,18K","2,68%"
"13.04.2022","108,78","105,44","109,00","104,06","247,26K","3,96%"
"12.04.2022","104,64","99,35","105,60","98,90","273,95K","6,26%"
"11.04.2022","98,48","103,21","103,30","97,57","238,69K","-4,18%"
"08.04.2022","102,78","101,42","103,30","99,65","217,64K","2,19%"
"07.04.2022","100,58","101,78","103,59","98,41","296,03K","-0,48%"